GeoUID_csd,Type_csd,Region Name_csd,Area (sq km)_csd,Population_csd,Dwellings_csd,Households_csd,CD_UID_csd,PR_UID_csd,CMA_UID_csd,total_occupied_private_dwellings_csd,single_detached_houses_csd,apartment_in_building_plus_5_csd,semi_detached_house_csd,row_house_csd,apartment_in_duplex_csd,apartment_in_building_less_5_csd,households_more_than_30_csd,median_shelter_costs_owned_csd,median_shelter_costs_rented_csd,single_detached_houses_pct_csd,semi_detached_house_pct_csd,row_house_pct_csd,apartment_in_duplex_pct_csd,apartment_in_building_less_5_pct_csd,apartment_in_building_plus_5_pct_csd,pop_density_csd
3515037,CSD,North Kawartha (TP),746.3451,2877,3693,1364,3515,35,,1365,1300,0,5,20,0,40,190,735,860,0.9523809523809523,0.003663003663003663,0.014652014652014652,0,0.029304029304029304,0,3.8547851389390777
3515044,CSD,Trent Lakes (MU),833.7181,6439,5750,2952,3515,35,,2950,2910,0,5,5,15,10,430,990,910,0.9864406779661017,0.001694915254237288,0.001694915254237288,0.005084745762711864,0.003389830508474576,0,7.723234028384414
3516010,CSD,Kawartha Lakes (CY),3033.6565,79247,38947,32708,3516,35,35530,32705,27400,730,555,655,840,2220,6085,1080,1100,0.8377923864852469,0.01696988228099679,0.020027518728023237,0.025684146155022167,0.06787952912398716,0.022320746063293075,26.12260155360371
3518001,CSD,Pickering (CY),231.1049,99186,34327,33425,3518,35,35535,33425,19915,3060,2510,4980,1825,1105,8030,1980,1720,0.5958115183246073,0.07509349289454001,0.14899027673896784,0.054599850411368736,0.03305908750934929,0.09154824233358265,429.1817265665938
3518005,CSD,Ajax (T),66.6437,126666,40275,39488,3518,35,35535,39485,25560,2635,2265,6020,1385,1610,9725,2140,1600,0.647334430796505,0.05736355578067621,0.1524629606179562,0.035076611371406864,0.04077497783968596,0.06673420286184627,1900.6447721239967
3518009,CSD,Whitby (T),146.6948,138501,47389,46460,3518,35,35532,46460,32295,3300,1385,6135,870,2435,9885,2020,1430,0.6951140766250538,0.029810589754627637,0.13204907447266465,0.018725785622040466,0.05241067585019372,0.07102884201463625,944.143896034488
3518013,CSD,Oshawa (CY),145.7163,175383,69324,66634,3518,35,35532,66630,37000,7590,5330,6445,3650,6475,18330,1640,1300,0.555305417979889,0.079993996698184,0.09672820051028065,0.054780129070989045,0.09717844814648056,0.11391265195857722,1203.5921856374339
3518017,CSD,Clarington (MU),610.8417,101427,36852,35953,3518,35,35532,35955,27945,525,1075,3125,910,2290,6645,1780,1590,0.7772215269086358,0.02989848421638159,0.08691419830343484,0.025309414545960227,0.06369072451675706,0.014601585314977055,166.04465608683887
3518020,CSD,Scugog (TP),474.3769,21581,8734,8243,3518,35,,8245,7360,50,155,80,135,445,1335,1380,1280,0.8926622195269861,0.01879927228623408,0.009702850212249849,0.01637355973317162,0.053972104305639784,0.006064281382656155,45.493361923820494
3518022,CSD,Mississaugas of Scugog Island (IRI),2.5714,125,51,49,3518,35,,50,45,0,0,5,0,0,NA,NA,NA,0.9,0,0.1,0,0,0,48.61165124056934
